選手名,年齢,級班,府県,ホーム,期別,タイプ１,タイプ２,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応（横をする・横をされた時への対応力）,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
武田 和也,37,A級3班,奈良,奈良,92期,自在,,◯,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
肥後 公允,41,A級3班,奈良,奈良,91期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
元砂 海人,36,A級3班,奈良,奈良,113期,自在,,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
大川 栄二,52,A級3班,和歌山,和歌山,70期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
川西 亮介,49,A級3班,和歌山,和歌山,86期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
布居 翼,29,A級3班,和歌山,和歌山,109期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
日浦 崇道,34,A級3班,和歌山,和歌山,109期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
南 蓮,26,A級3班,和歌山,和歌山,115期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
井坂 泰誓,31,A級3班,大阪,岸和田,115期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
井上 将志,49,A級3班,大阪,岸和田,86期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
岡嶋 登,40,A級3班,大阪,,99期,,,,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
梶原 秀庸,51,A級3班,大阪,岸和田,77期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
小西 芳樹,55,A級3班,大阪,,66期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
斎藤 敦,39,A級3班,大阪,,103期,先行,捲,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
坂本 佳憲,40,A級3班,大阪,岸和田,90期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
陶器 一馬,47,A級3班,大阪,岸和田,86期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
中澤 孝之,60,A級3班,大阪,岸和田,56期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
中嶋 樹,24,A級3班,大阪,岸和田,119期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
中嶋 響,22,A級3班,大阪,岸和田,125期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
永橋 武司,42,A級3班,大阪,岸和田,90期,自在,,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
葉狩 伸泰,51,A級3班,大阪,,78期,,,,◯,△,△,✕,△,△,◯,△,△,◯,◯,✕,,,,
土生 智徳,28,A級3班,大阪,,127期,先行,捲,◯,✕,,✕,◯,✕,◯,◯,△,✕,◯,◯,✕,,,,弟同様に捲り主体なのかな？逃げたら多少やれると思うんだけどね。位置取りできない・先行意欲ない・捲る脚がない。仕掛けもめちゃくちゃ。					
浜田 翔平,36,A級3班,大阪,岸和田,111期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
平川 公一,48,A級3班,大阪,岸和田,86期,自在,,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
舟元 権造,42,A級3班,大阪,岸和田,92期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
山村 慮太,38,A級3班,大阪,岸和田,97期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
吉川 悟,48,A級3班,大阪,岸和田,79期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
秋末 蓮,24,A級3班,兵庫,,125期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
安達 豪太,32,A級3班,兵庫,,127期,先行,,◯,✕,,✕,✕,△,△,△,△,△,✕,◯,✕,,,,末脚の甘さは評価通り。スピード・スタミナ・仕掛けも悪い。					
池上 孝之,54,A級3班,兵庫,,69期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
井上 将志,41,A級3班,兵庫,,100期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
大中 拓磨,36,A級3班,兵庫,,111期,先行,捲,◯,◯,△,△,✕,△,△,◯,△,△,△,◯,✕,,,,
川本 恵二,50,A級3班,兵庫,,78期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
黒木 誠一,58,A級3班,兵庫,,60期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
後藤 祐貴,35,A級3班,兵庫,,103期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
西郷 剛,56,A級3班,兵庫,,69期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
西森 一稀,20,A級3班,兵庫,,127期,先行,捲,◯,✕,,◯,◯,△,◯,△,△,◯,△,◯,✕,,,,やはり先行意欲がない。レース運びの下手。やはり好きになれない。とりあえずラインの先行を任されているので逃げている感がある。早々の追込転向もあり得る。					
樋口 有樹郎,37,A級3班,兵庫,,98期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
藤縄 洋介,45,A級3班,兵庫,,89期,自在,,△,◯,△,△,△,△,△,△,△,◯,△,◯,✕,,,,
松本 琢也,41,A級3班,兵庫,,95期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
柳澤 達也,53,A級3班,兵庫,,72期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
竜門 孝宗,39,A級3班,兵庫,,95期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
上原 直樹,52,A級3班,岡山,玉野,75期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
太田 良政,51,A級3班,岡山,玉野,74期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
大室 翔,34,A級3班,岡山,玉野,107期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
岡崎 克政,40,A級3班,岡山,玉野,92期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
岡田 浩太,49,A級3班,岡山,玉野,78期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
小野 祐作,52,A級3班,岡山,玉野,72期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
柏野 健吾,22,A級3班,岡山,玉野,127期,先行,捲,◯,✕,,◯,◯,△,◯,△,△,◯,△,◯,✕,,,,ルーキーらしいのかまだ注視が必要。先行選手ではない。でも逃げたがる。逃げたら高確率で差される。スタミナはない。無理矢理感がある。地元玉野での張り切り感があるので要注意。（デビューして）最初の頃は先行をしたかったので前々で勝負していたんですけど、出切れなかったりして、あまりうまくかみ合わなかった。それを修正していったらうまくいくようになりました。（小倉の3走で）スピードの緩急の付け方がわかってきたかなと思う。地脚なので長く踏めるところが自分のセールスポイントです」（本人談）					
川本 琢也,38,A級3班,岡山,玉野,100期,追い込み,,◯,◯,△,△,✕,△,◯,◯,△,◯,△,◯,✕,,,,
小西 涼太,24,A級3班,岡山,玉野,127期,先行,捲,◯,✕,,◯,◯,△,◯,△,◯,◯,△,◯,✕,,,,積極性と無茶は違う。ラインを意識できていない。弱い。格上の自力が居ると叩けない。もがける点は評価できる。					
合地 登汰,27,A級3班,岡山,玉野,121期,先行,捲,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
坂本 智哉,47,A級3班,岡山,玉野,82期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
高嶋 一朗,58,A級3班,岡山,玉野,62期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
高田 大輔,36,A級3班,岡山,玉野,97期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
取鳥 敬一,53,A級3班,岡山,玉野,69期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
鳥丸 晃順,44,A級3班,岡山,玉野,89期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
土井 慎二,28,A級3班,岡山,玉野,127期,先行,捲,◯,✕,,✕,◯,△,◯,△,△,△,△,◯,✕,,,,割とまだ動けていた。ただスピードが無く物足りなさはある。蓋をされた時のイン粘りは危険。定期的に出るかもしれない。					
野見 泰要,43,A級3班,岡山,玉野,101期,先行,捲,◯,◯,△,△,✕,△,△,◯,△,△,△,◯,✕,,,,
増成 富夫,54,A級3班,岡山,玉野,66期,先行,捲,◯,◯,△,△,✕,△,△,◯,△,△,△,◯,✕,,,,
森 佑樹,39,A級3班,岡山,玉野,94期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
吉野 太晟,23,A級3班,岡山,玉野,127期,先行,捲,◯,✕,,✕,◯,△,◯,△,△,△,△,◯,✕,,,,
龍門 慎太郎,40,A級3班,岡山,玉野,96期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
沖本 尚織,46,A級3班,広島,広島,87期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
甲斐下 智,56,A級3班,広島,広島,64期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
古城 英之,49,A級3班,広島,広島,78期,追い込み,,✕,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
志村 達也,53,A級3班,広島,広島,71期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
隅田 幸助,41,A級3班,広島,広島,91期,自在,,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
田村 光昭,54,A級3班,広島,広島,67期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
古川 大輔,41,A級3班,広島,広島,99期,自在,,△,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
細田 純平,36,A級3班,広島,広島,99期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
三登 誉哲,38,A級3班,広島,広島,100期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
安田 光義,60,A級3班,広島,広島,61期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,広島支部支部長
阿部 龍也,32,A級3班,山口,防府,119期,先行,捲,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
井山 和裕,47,A級3班,山口,防府,84期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,山口支部支部長
右近 陸人,25,A級3班,山口,防府,127期,先行,捲,◯,✕,,✕,◯,△,△,△,△,△,△,◯,✕,,,,マイペースで逃げて3着はスタミナがなさすぎる。先行意欲はあるけど逃げ切れない					
内村 竜也,49,A級3班,山口,防府,93期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
田口 守,37,A級3班,山口,防府,94期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
利川 寛太,26,A級3班,山口,防府,127期,先行,捲,◯,✕,,✕,◯,△,◯,◯,◯,◯,△,◯,✕,,,,先行意欲が高い。ラインの意識もある。BIGMANの系譜になるのかな？。単騎では買いにくい。前受けからの逃げの時だけ買えばいいのかな。					
友永 龍介,34,A級3班,山口,防府,101期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
大林 亮介,44,A級3班,香川,高松,86期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
大山 泰伸,53,A級3班,香川,高松,68期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
佐々木 英之,50,A級3班,香川,高松,78期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
玉村 元気,36,A級3班,香川,高松,101期,自在,,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
眞鍋 伸也,45,A級3班,香川,高松,85期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
行成 大祐,50,A級3班,香川,高松,80期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
尾崎 勝弘,57,A級3班,徳島,小松島,66期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
川西 康彦,22,A級3班,徳島,小松島,127期,先行,捲,◯,✕,△,✕,◯,△,△,△,△,△,△,◯,✕,,,,積極性◯、スピード△。チャレンジでも自力上位選手が居ると簡単に叩かれる					
近藤 直幹,52,A級3班,徳島,小松島,75期,追い込み,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
齋藤 仁,46,A級3班,徳島,小松島,83期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
住村 実,49,A級3班,徳島,小松島,82期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
高田 大輔,47,A級3班,徳島,小松島,88期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
田村 裕也,30,A級3班,徳島,小松島,113期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
藤原 義浩,52,A級3班,徳島,小松島,76期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
増田 鉄男,51,A級3班,徳島,小松島,74期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
山本 宏明,47,A級3班,徳島,小松島,83期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
赤松 誠一,57,A級3班,高知,高知,61期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
赤松 秀展,53,A級3班,高知,高知,76期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
岡田 雅也,46,A級3班,高知,,88期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
武市 和人,51,A級3班,高知,高知,74期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
竹村 達也,34,A級3班,高知,高知,99期,自在,,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
土居 佑次,27,A級3班,高知,高知,113期,自在,,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
水木 裕聡,42,A級3班,高知,高知,96期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
宮崎 一彰,50,A級3班,高知,高知,99期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
森下 忠夫,53,A級3班,高知,高知,69期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
山原 利秀,56,A級3班,高知,高知,63期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
梶應 弘樹,60,A級3班,愛媛,松山,57期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
曽我部 匡史,51,A級3班,愛媛,松山,82期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
武智 尚之,54,A級3班,愛媛,松山,70期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
鳥生 知八,49,A級3班,愛媛,松山,77期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
中岡 海,23,A級3班,愛媛,松山,123期,自在,,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
松木 竜也,56,A級3班,愛媛,松山,65期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
松本 充生,47,A級3班,愛媛,松山,94期,自在,,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
明星 晴道,48,A級3班,愛媛,松山,82期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
秋永 昂人,39,A級3班,福岡,小倉,98期,自在,,△,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
穴井 利久,55,A級3班,福岡,久留米,65期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
勝部 貴博,36,A級3班,福岡,小倉,105期,先行,捲,◯,◯,△,✕,✕,△,△,△,△,△,△,◯,✕,,,,
加藤 昌平,50,A級3班,福岡,小倉,80期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
瓦田 勝也,51,A級3班,福岡,小倉,77期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
楠本 政明,30,A級3班,福岡,久留米,123期,先行,捲,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
古閑 良介,52,A級3班,福岡,久留米,73期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,福岡支部支部長
澤亀 浩司,57,A級3班,福岡,久留米,60期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
白川 有司,51,A級3班,福岡,久留米,76期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
神開 将暢,53,A級3班,福岡,久留米,69期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
高尾 剛文,56,A級3班,福岡,久留米,66期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
高鍋 邦彰,39,A級3班,福岡,久留米,95期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
田中 孝法,43,A級3班,福岡,久留米,91期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
檀 雄二,57,A級3班,福岡,久留米,66期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
徳吉 正治,42,A級3班,福岡,久留米,89期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
永田 隼一,45,A級3班,福岡,小倉,95期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
野津 宏介,28,A級3班,福岡,久留米,127期,先行,,,,,,,,,,,,,,,,,,
別所 英幸,45,A級3班,福岡,小倉,83期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
松丸 裕紀,44,A級3班,福岡,小倉,86期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
丸林 一孝,48,A級3班,福岡,久留米,81期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
丸林 駿太,23,A級3班,福岡,久留米,123期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
南 和夫,49,A級3班,福岡,小倉,82期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
宮本 龍一,39,A級3班,福岡,小倉,92期,自在,,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
矢田 晋,47,A級3班,福岡,小倉,94期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
横瀬 聡,54,A級3班,福岡,久留米,69期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
吉田 勇気,36,A級3班,福岡,小倉,117期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
渡邉 満,53,A級3班,福岡,久留米,73期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
富永 昌久,45,A級3班,佐賀,武雄,88期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
中野 真吾,39,A級3班,佐賀,武雄,111期,先行,捲,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
原 司,54,A級3班,佐賀,武雄,70期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,佐賀支部支部長
真崎 章徳,30,A級3班,佐賀,武雄,113期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
足達 重満,50,A級3班,長崎,佐世保,80期,追い込み,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
後田 康成,52,A級3班,長崎,佐世保,75期,追い込み,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
白濱 一平,32,A級3班,長崎,佐世保,111期,自在,,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
田山 誠,38,A級3班,長崎,佐世保,96期,自在,,△,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
永田 秀佑,33,A級3班,長崎,佐世保,103期,自在,,△,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
山口 留稀哉,22,A級3班,長崎,佐世保,127期,先行,捲,◯,✕,,◯,◯,△,◯,△,△,◯,△,◯,✕,,,,ルーキーらしい無理やり感があった。このままでは今後苦戦するかも？末脚の甘さは気になる所。逃げていると差される。					
加藤 大輔,46,A級3班,大分,別府,87期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
篠田 樹,29,A級3班,大分,別府,113期,先行,捲,◯,◯,△,△,✕,△,◯,◯,△,△,△,◯,✕,,,,
生野 優翔,23,A級3班,大分,別府,127期,先行,捲,◯,✕,,◯,◯,△,△,△,△,◯,△,◯,✕,,,,まだまだ物足りない。上手くもなければ強くもない。成長に期待。2度脚、3度脚がある。理由は経歴見れば納得。					
山本 康旗,25,A級3班,大分,別府,127期,先行,捲,◯,✕,,✕,◯,△,△,△,△,△,△,◯,✕,,,,末脚甘すぎる。デビュー戦は相手のミスに助けられた。弱い					
吉田 航,26,A級3班,大分,別府,127期,先行,捲,◯,✕,,✕,◯,△,△,△,△,△,△,◯,✕,,,,やはりスピードはなさそう。積極性は◯					
赤星 俊光,46,A級3班,熊本,熊本,86期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
五十嵐 博一,51,A級3班,熊本,熊本,79期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
大窪 輝之,54,A級3班,熊本,,72期,追い込み,,✕,,,,,,,,,,,◯,✕,,,,
倉岡 慎太郎,57,A級3班,熊本,熊本,59期,追い込み,,✕,◯,△,△,✕,△,△,△,△,◯,△,◯,✕,,,,
興呂木 雄治,36,A級3班,熊本,,96期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
佐藤 魁皇,22,A級3班,熊本,熊本,127期,先行,捲,◯,✕,,◯,◯,△,△,△,△,△,△,◯,✕,,,,一瞬の切れはあるもののやはり持久力に欠ける。500は不向きだと思う。短期ダッシュ型。333や400で直線の短い佐世保なら狙えるのかな？					
時松 正,54,A級3班,熊本,熊本,67期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
西島 貢司,56,A級3班,熊本,熊本,64期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,熊本支部支部長
松尾 正人,54,A級3班,熊本,熊本,66期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
吉田 悟,31,A級3班,熊本,熊本,119期,先行,捲,◯,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
吉成 晃一,40,A級3班,熊本,熊本,92期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
米丸 俊成,55,A級3班,熊本,熊本,72期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
米村 光星,26,A級3班,熊本,熊本,121期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
五反田 豊和,48,A級3班,宮崎,,80期,自在,,△,◯,△,△,✕,△,◯,◯,△,△,◯,◯,✕,,,,
東 隆之,38,A級3班,宮崎,,100期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
下山 聖斗,24,A級3班,鹿児島,,127期,,,,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
重 一徳,61,A級3班,鹿児島,,57期,追い込み,,,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
竹野 行登,58,A級3班,鹿児島,,64期,追い込み,,,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
濱田 昭一郎,57,A級3班,鹿児島,,67期,追い込み,,,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
安谷屋 将志,36,A級3班,沖縄,,96期,追い込み,,✕,◯,△,✕,△,△,△,△,△,△,△,◯,✕,,,,
新垣 慶晃,24,A級3班,沖縄,,127期,先行,捲,◯,✕,,✕,◯,◯,◯,◯,◯,◯,◯,◯,✕,,,,事前評価通り。やはりスピードは良いものがある。仕掛け所はまだまだ勉強かな？元々、競技でも（得意種目が）中長距離だったので、長い距離を踏むというのは得意分野かなと思ってます」（本人談）					
川添 輝彦,60,A級3班,沖縄,,56期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
仙石 淳,52,A級3班,沖縄,,73期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
屋宜 浩二,40,A級3班,沖縄,,97期,追い込み,,✕,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
與古田 龍門,24,A級3班,沖縄,,125期,先行,捲,△,◯,△,△,✕,△,△,△,△,△,△,◯,✕,,,,
米原 大輔,45,A級3班,沖縄,,86期,追い込み,,✕,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
ラモス レオ,28,A級3班,沖縄,,113期,先行,捲,◯,◯,△,◯,◯,△,△,△,△,△,△,△,✕,,,,
青木 美保,28,L級1班,埼玉,西武園,118期,自在,,◯,,,◯,◯,△,◯,◯,△,△,,,✕,,,,2・３着なら買えるがそれ以上は望めない                
青木 美優,31,L級1班,栃木,宇都宮,106期,追い込み,,△,,,△,✕,△,✕,✕,△,△,,,✕,,,,縦足・スピード不足。		
赤池 七虹,22,L級1班,静岡,,128期,自在,,△,,,△,✕,△,✕,✕,△,△,,,✕,,,,全体的に劣っている。厳しい戦いが続きそう。128期最弱もあり得るがまだまだこれから。負け戦での3着に来てくれればいいかな？ぐらいでの期待。						
東 美月,23,L級1班,兵庫,,124期,自在,,△,,,△,✕,△,✕,✕,△,△,,,✕,,,,かなり厳しい。買えない。		
新井 美菜,26,L級1班,埼玉,大宮,116期,追い込み,,△,,,△,✕,△,✕,✕,△,△,,,✕,,,,かなり厳しい。買えない。		
荒川 ひかり,30,L級1班,茨城,取手,110期,追い込み,,△,,,◯,◯,△,◯,△,△,△,,,✕,,,,マーク・追走型		
荒牧 聖未,35,L級1班,栃木,宇都宮,102期,自在,,△,,,△,◯,△,◯,◯,△,△,,,✕,,,,素質は良いものの粗さが目立つ		
安東 莉奈,24,L級1班,大分,別府,122期,追い込み,,△,,,◯,◯,△,◯,◯,△,△,,,✕,,,,マーク・追走型		
飯田 風音,24,L級1班,埼玉,大宮,120期,自在,,△,,,△,◯,△,◯,◯,△,△,,,✕,,,,A級飯田威文と親子		
